# UNSODA Database v2.0
# Code:       1120
# Texture:    ---
# Location:   ---
# Theta_sat:  0.312
# Dry/wet:    dry
# No. points: 10
# psi       theta
    0       0.2930
   10       0.2828
   20       0.2802
   40       0.2740
   80       0.2278
  150       0.1859
  500       0.1296
 1000       0.0956
 2000       0.0872
10000       0.0869
